Name,REUTER COMMODITIES INDEX - PRICE INDEX
02/01/1976,1180.9
05/01/1976,1183.5
06/01/1976,1184
07/01/1976,1182.6
08/01/1976,1187.5
09/01/1976,1192.3
12/01/1976,1190.8
13/01/1976,1190.8
14/01/1976,1198.3
15/01/1976,1199.5
16/01/1976,1199.6
19/01/1976,1196
20/01/1976,1191.8
21/01/1976,1197.2
22/01/1976,1191.6
23/01/1976,1195.4
26/01/1976,1196.4
27/01/1976,1190.4
28/01/1976,1195
29/01/1976,1203
30/01/1976,1203.3
02/02/1976,1207.3
03/02/1976,1210.4
04/02/1976,1212.9
05/02/1976,1213
06/02/1976,1212.2
09/02/1976,1212.9
10/02/1976,1217.6
11/02/1976,1217.8
12/02/1976,1219.3
13/02/1976,1225
16/02/1976,1223.4
17/02/1976,1224.5
18/02/1976,1229.8
19/02/1976,1228.4
20/02/1976,1232.6
23/02/1976,1234.6
24/02/1976,1235.7
25/02/1976,1235.7
26/02/1976,1234.1
27/02/1976,1233.3
01/03/1976,1236.3
02/03/1976,1235.9
03/03/1976,1233.2
04/03/1976,1237.1
05/03/1976,1249.6
08/03/1976,1265.1
09/03/1976,1272.3
10/03/1976,1274.1
11/03/1976,1271.3
12/03/1976,1273.1
15/03/1976,1284.8
16/03/1976,1283.4
17/03/1976,1283.4
18/03/1976,1291.9
19/03/1976,1298.4
22/03/1976,1309
23/03/1976,1302.2
24/03/1976,1301.7
25/03/1976,1298.9
26/03/1976,1294.5
29/03/1976,1291.8
30/03/1976,1286.7
31/03/1976,1296.2
01/04/1976,1302.8
02/04/1976,1311.2
05/04/1976,1308.3
06/04/1976,1330.5
07/04/1976,1330.2
08/04/1976,1342.1
09/04/1976,1354
12/04/1976,1358.6
13/04/1976,1365.7
14/04/1976,1360.3
15/04/1976,1364.6
16/04/1976,1364.6
19/04/1976,1364.6
20/04/1976,1388.8
21/04/1976,1398.8
22/04/1976,1403.5
23/04/1976,1400.2
26/04/1976,1408.9
27/04/1976,1424
28/04/1976,1419.3
29/04/1976,1410.6
30/04/1976,1410.5
03/05/1976,1412.4
04/05/1976,1419.7
05/05/1976,1419.6
06/05/1976,1432.6
07/05/1976,1445.5
10/05/1976,1451.3
11/05/1976,1440.1
12/05/1976,1435.4
13/05/1976,1438.3
14/05/1976,1439.7
17/05/1976,1451.2
18/05/1976,1443.6
19/05/1976,1434.4
20/05/1976,1442.3
21/05/1976,1454.3
24/05/1976,1456.2
25/05/1976,1464.5
26/05/1976,1465.6
27/05/1976,1470.7
28/05/1976,1470.7
31/05/1976,1470.7
01/06/1976,1484.2
02/06/1976,1472.3
03/06/1976,1488.2
04/06/1976,1485.8
07/06/1976,1488.6
08/06/1976,1495.8
09/06/1976,1500.5
10/06/1976,1512.2
11/06/1976,1526.3
14/06/1976,1536
15/06/1976,1540.6
16/06/1976,1521.7
17/06/1976,1526.5
18/06/1976,1515.9
21/06/1976,1515.8
22/06/1976,1525.4
23/06/1976,1525.9
24/06/1976,1552.1
25/06/1976,1527.1
28/06/1976,1469.8
29/06/1976,1535.8
30/06/1976,1538.9
01/07/1976,1536.6
02/07/1976,1553.7
05/07/1976,1566.3
06/07/1976,1577.6
07/07/1976,1586.8
08/07/1976,1575.3
09/07/1976,1578.4
12/07/1976,1577.9
13/07/1976,1553.5
14/07/1976,1551.1
15/07/1976,1561.2
16/07/1976,1553.2
19/07/1976,1534.3
20/07/1976,1516.2
21/07/1976,1511.1
22/07/1976,1502.6
23/07/1976,1506.3
26/07/1976,1513.1
27/07/1976,1510.9
28/07/1976,1504.1
29/07/1976,1493.3
30/07/1976,1495.7
02/08/1976,1479
03/08/1976,1479
04/08/1976,1467.5
05/08/1976,1467
06/08/1976,1459.5
09/08/1976,1458
10/08/1976,1454.2
11/08/1976,1458.3
12/08/1976,1472.1
13/08/1976,1465.7
16/08/1976,1465.7
17/08/1976,1482.6
18/08/1976,1472.5
19/08/1976,1478.6
20/08/1976,1483
23/08/1976,1475
24/08/1976,1473.9
25/08/1976,1472.8
26/08/1976,1473.8
27/08/1976,1479.1
30/08/1976,1479.1
31/08/1976,1471.3
01/09/1976,1471.3
02/09/1976,1466.5
03/09/1976,1463.7
06/09/1976,1466.1
07/09/1976,1469.7
08/09/1976,1478.8
09/09/1976,1487.4
10/09/1976,1489
13/09/1976,1486.4
14/09/1976,1484.6
15/09/1976,1471.5
16/09/1976,1466.7
17/09/1976,1464.9
20/09/1976,1465
21/09/1976,1464.4
22/09/1976,1464.3
23/09/1976,1465.1
24/09/1976,1470.7
27/09/1976,1485.9
28/09/1976,1510.4
29/09/1976,1512.6
30/09/1976,1498.5
01/10/1976,1513.2
04/10/1976,1518
05/10/1976,1532.4
06/10/1976,1538.5
07/10/1976,1527.4
08/10/1976,1538.7
11/10/1976,1530.5
12/10/1976,1523.3
13/10/1976,1528.7
14/10/1976,1532.8
15/10/1976,1522.2
18/10/1976,1518.7
19/10/1976,1522.2
20/10/1976,1522.7
21/10/1976,1520
22/10/1976,1510.9
25/10/1976,1533.1
26/10/1976,1548
27/10/1976,1545.3
28/10/1976,1561
29/10/1976,1543.1
01/11/1976,1552.6
02/11/1976,1553.6
03/11/1976,1550.8
04/11/1976,1531
05/11/1976,1539
08/11/1976,1548.8
09/11/1976,1555.6
10/11/1976,1563.2
11/11/1976,1565.9
12/11/1976,1559.3
15/11/1976,1559.3
16/11/1976,1548.7
17/11/1976,1556.7
18/11/1976,1547
19/11/1976,1540.1
22/11/1976,1552.8
23/11/1976,1552.8
24/11/1976,1560.6
25/11/1976,1556.7
26/11/1976,1551.9
29/11/1976,1550.2
30/11/1976,1547.1
01/12/1976,1535.6
02/12/1976,1532.1
03/12/1976,1529.2
06/12/1976,1536.9
07/12/1976,1539.7
08/12/1976,1535.4
09/12/1976,1536.9
10/12/1976,1541.4
13/12/1976,1543.4
14/12/1976,1548.9
15/12/1976,1547.1
16/12/1976,1540.8
17/12/1976,1544
20/12/1976,1550.5
21/12/1976,1547.3
22/12/1976,1563.2
23/12/1976,1563.7
24/12/1976,1561.6
27/12/1976,1561.6
28/12/1976,1561.6
29/12/1976,1566.4
30/12/1976,1568.7
31/12/1976,1568.7
03/01/1977,1568.7
04/01/1977,1584.5
05/01/1977,1580.1
06/01/1977,1570.7
07/01/1977,1574.1
10/01/1977,1578.5
11/01/1977,1585.3
12/01/1977,1586.7
13/01/1977,1585.4
14/01/1977,1587.4
17/01/1977,1601
18/01/1977,1601
19/01/1977,1605.8
20/01/1977,1610.4
21/01/1977,1608.9
24/01/1977,1612.7
25/01/1977,1612.2
26/01/1977,1613.8
27/01/1977,1618.1
28/01/1977,1613.3
31/01/1977,1613.1
01/02/1977,1610
02/02/1977,1609.5
03/02/1977,1618.7
04/02/1977,1616.4
07/02/1977,1616.4
08/02/1977,1622.8
09/02/1977,1619.1
10/02/1977,1602.3
11/02/1977,1622.1
14/02/1977,1621.7
15/02/1977,1627.2
16/02/1977,1633
17/02/1977,1637.4
18/02/1977,1633
21/02/1977,1642
22/02/1977,1639.9
23/02/1977,1641
24/02/1977,1646.3
25/02/1977,1661.6
28/02/1977,1669
01/03/1977,1680.4
02/03/1977,1695.1
03/03/1977,1701
04/03/1977,1699.8
07/03/1977,1708.1
08/03/1977,1732.5
09/03/1977,1732.8
10/03/1977,1737.9
11/03/1977,1727.3
14/03/1977,1730.8
15/03/1977,1738.5
16/03/1977,1742.7
17/03/1977,1748.5
18/03/1977,1749.4
21/03/1977,1752.1
22/03/1977,1757.1
23/03/1977,1757.1
24/03/1977,1744.4
25/03/1977,1739.9
28/03/1977,1738.5
29/03/1977,1726.2
30/03/1977,1732.9
31/03/1977,1732.9
01/04/1977,1736.1
04/04/1977,1736.1
05/04/1977,1724.2
06/04/1977,1726.6
07/04/1977,1732.2
08/04/1977,1732.2
11/04/1977,1732.2
12/04/1977,1741
13/04/1977,1747.9
14/04/1977,1749.2
15/04/1977,1738.4
18/04/1977,1735.6
19/04/1977,1735.6
20/04/1977,1737.7
21/04/1977,1729.9
22/04/1977,1735.8
25/04/1977,1735.6
26/04/1977,1728.5
27/04/1977,1729.8
28/04/1977,1719.1
29/04/1977,1714.4
02/05/1977,1721.5
03/05/1977,1722.2
04/05/1977,1711.9
05/05/1977,1701.5
06/05/1977,1696.9
09/05/1977,1688.7
10/05/1977,1681.8
11/05/1977,1680.1
12/05/1977,1676.3
13/05/1977,1683.8
16/05/1977,1679.5
17/05/1977,1678.2
18/05/1977,1675.2
19/05/1977,1670.1
20/05/1977,1672.7
23/05/1977,1661.5
24/05/1977,1661.9
25/05/1977,1661.9
26/05/1977,1657.4
27/05/1977,1652.5
30/05/1977,1646.9
31/05/1977,1642.9
01/06/1977,1643.1
02/06/1977,1638.8
03/06/1977,1630
06/06/1977,1630
07/06/1977,1630
08/06/1977,1640.4
09/06/1977,1625
10/06/1977,1616.9
13/06/1977,1606
14/06/1977,1598.2
15/06/1977,1600.8
16/06/1977,1597.2
17/06/1977,1594.8
20/06/1977,1605.1
21/06/1977,1605.2
22/06/1977,1593.6
23/06/1977,1569.2
24/06/1977,1573.7
27/06/1977,1576.4
28/06/1977,1571.1
29/06/1977,1571.3
30/06/1977,1571.3
01/07/1977,1571.3
04/07/1977,1571.3
05/07/1977,1563.9
06/07/1977,1563.9
07/07/1977,1563.9
08/07/1977,1563.9
11/07/1977,1538.1
12/07/1977,1532.3
13/07/1977,1526.4
14/07/1977,1534.8
15/07/1977,1545.4
18/07/1977,1531.4
19/07/1977,1531.9
20/07/1977,1533.9
21/07/1977,1530.6
22/07/1977,1533.7
25/07/1977,1533.7
26/07/1977,1526.1
27/07/1977,1522.2
28/07/1977,1514.2
29/07/1977,1516.7
01/08/1977,1518
02/08/1977,1518
03/08/1977,1518
04/08/1977,1518
05/08/1977,1518
08/08/1977,1518
09/08/1977,1518
10/08/1977,1518
11/08/1977,1518
12/08/1977,1518
15/08/1977,1518
16/08/1977,1518
17/08/1977,1518
18/08/1977,1518
19/08/1977,1518
22/08/1977,1518
23/08/1977,1518
24/08/1977,1518
25/08/1977,1518
26/08/1977,1518
29/08/1977,1518
30/08/1977,1518
31/08/1977,1485.9
01/09/1977,1485.9
02/09/1977,1496.9
05/09/1977,1496.9
06/09/1977,1502.3
07/09/1977,1501.5
08/09/1977,1500.2
09/09/1977,1492.9
12/09/1977,1492.9
13/09/1977,1493.6
14/09/1977,1493.8
15/09/1977,1493.8
16/09/1977,1494.5
19/09/1977,1501.5
20/09/1977,1503.3
21/09/1977,1501.2
22/09/1977,1501.2
23/09/1977,1510.5
26/09/1977,1502.5
27/09/1977,1500.5
28/09/1977,1499.5
29/09/1977,1501.6
30/09/1977,1506.9
03/10/1977,1502.4
04/10/1977,1502.4
05/10/1977,1506.5
06/10/1977,1504.4
07/10/1977,1499.5
10/10/1977,1503.3
11/10/1977,1504.5
12/10/1977,1498.1
13/10/1977,1491.9
14/10/1977,1488
17/10/1977,1484.2
18/10/1977,1485.7
19/10/1977,1483
20/10/1977,1485.2
21/10/1977,1485.3
24/10/1977,1485.3
25/10/1977,1493.3
26/10/1977,1488.6
27/10/1977,1488.6
28/10/1977,1488.6
31/10/1977,1483.8
01/11/1977,1461.6
02/11/1977,1466.8
03/11/1977,1466.8
04/11/1977,1467.8
07/11/1977,1467.2
08/11/1977,1467.2
09/11/1977,1461
10/11/1977,1462
11/11/1977,1465.5
14/11/1977,1463.7
15/11/1977,1473.9
16/11/1977,1481.6
17/11/1977,1489.5
18/11/1977,1486.5
21/11/1977,1485.9
22/11/1977,1486.4
23/11/1977,1490.5
24/11/1977,1491.3
25/11/1977,1490.4
28/11/1977,1497.5
29/11/1977,1491.5
30/11/1977,1490.5
01/12/1977,1493.7
02/12/1977,1494.5
05/12/1977,1495.5
06/12/1977,1496.1
07/12/1977,1500.7
08/12/1977,1440.5
09/12/1977,1443.3
12/12/1977,1441.9
13/12/1977,1439.9
14/12/1977,1439.9
15/12/1977,1431.4
16/12/1977,1421.4
19/12/1977,1417
20/12/1977,1415.6
21/12/1977,1415.7
22/12/1977,1415.4
23/12/1977,1416.1
26/12/1977,1416.1
27/12/1977,1416.1
28/12/1977,1414.7
29/12/1977,1414.7
30/12/1977,1385.1
02/01/1978,1385.1
03/01/1978,1421.9
04/01/1978,1413.6
05/01/1978,1419.3
06/01/1978,1419.8
09/01/1978,1417.5
10/01/1978,1420
11/01/1978,1423.9
12/01/1978,1421.3
13/01/1978,1424.7
16/01/1978,1423.7
17/01/1978,1415.2
18/01/1978,1415.7
19/01/1978,1410.4
20/01/1978,1410.4
23/01/1978,1403.2
24/01/1978,1403
25/01/1978,1398.2
26/01/1978,1397.8
27/01/1978,1403
30/01/1978,1403
31/01/1978,1403
01/02/1978,1403
02/02/1978,1403
03/02/1978,1399.4
06/02/1978,1399.4
07/02/1978,1398.1
08/02/1978,1402.3
09/02/1978,1402.4
10/02/1978,1408.8
13/02/1978,1405.5
14/02/1978,1402.5
15/02/1978,1403.1
16/02/1978,1401
17/02/1978,1389.6
20/02/1978,1385.5
21/02/1978,1389.3
22/02/1978,1389.9
23/02/1978,1382.9
24/02/1978,1379.9
27/02/1978,1378.9
28/02/1978,1384.9
01/03/1978,1384.9
02/03/1978,1388.5
03/03/1978,1388.5
06/03/1978,1384.6
07/03/1978,1384.1
08/03/1978,1380.9
09/03/1978,1380.9
10/03/1978,1386.4
13/03/1978,1385.8
14/03/1978,1391.2
15/03/1978,1391.2
16/03/1978,1391.2
17/03/1978,1394.8
20/03/1978,1394.8
21/03/1978,1404.2
22/03/1978,1401.7
23/03/1978,1401.7
24/03/1978,1416.1
27/03/1978,1416.1
28/03/1978,1437.4
29/03/1978,1437.4
30/03/1978,1435.2
31/03/1978,1434.6
03/04/1978,1433.4
04/04/1978,1428.3
05/04/1978,1431.9
06/04/1978,1429.2
07/04/1978,1431
10/04/1978,1436.2
11/04/1978,1442.5
12/04/1978,1441
13/04/1978,1438.2
14/04/1978,1438.2
17/04/1978,1451
18/04/1978,1452
19/04/1978,1445.9
20/04/1978,1448.9
21/04/1978,1457.5
24/04/1978,1457.5
25/04/1978,1452.9
26/04/1978,1458.5
27/04/1978,1457.1
28/04/1978,1455.3
01/05/1978,1455.3
02/05/1978,1455.4
03/05/1978,1453.6
04/05/1978,1456.1
05/05/1978,1456.6
08/05/1978,1465.9
09/05/1978,1467
10/05/1978,1462.7
11/05/1978,1455.7
12/05/1978,1458.7
15/05/1978,1461.1
16/05/1978,1463.8
17/05/1978,1466.3
18/05/1978,1470.2
19/05/1978,1475.9
22/05/1978,1482
23/05/1978,1486.9
24/05/1978,1488
25/05/1978,1491.8
26/05/1978,1502.7
29/05/1978,1502.7
30/05/1978,1505.4
31/05/1978,1507.4
01/06/1978,1508.5
02/06/1978,1518.1
05/06/1978,1515.4
06/06/1978,1517.7
07/06/1978,1525.2
08/06/1978,1522.8
09/06/1978,1523
12/06/1978,1517.6
13/06/1978,1510
14/06/1978,1508.8
15/06/1978,1496.2
16/06/1978,1498.3
19/06/1978,1502.1
20/06/1978,1496.8
21/06/1978,1498.6
22/06/1978,1493.1
23/06/1978,1494.9
26/06/1978,1492.3
27/06/1978,1496.2
28/06/1978,1488.5
29/06/1978,1476
30/06/1978,1471.2
03/07/1978,1468.9
04/07/1978,1458.6
05/07/1978,1459.8
06/07/1978,1455
07/07/1978,1452.2
10/07/1978,1447.1
11/07/1978,1448
12/07/1978,1454.7
13/07/1978,1442.5
14/07/1978,1443.1
17/07/1978,1430.7
18/07/1978,1425
19/07/1978,1418.4
20/07/1978,1419.6
21/07/1978,1417.3
24/07/1978,1416.4
25/07/1978,1411.1
26/07/1978,1412.7
27/07/1978,1423.3
28/07/1978,1423.3
31/07/1978,1423.3
01/08/1978,1420.6
02/08/1978,1421.3
03/08/1978,1422.8
04/08/1978,1422.8
07/08/1978,1429.6
08/08/1978,1431.7
09/08/1978,1428.6
10/08/1978,1437
11/08/1978,1436.7
14/08/1978,1441.2
15/08/1978,1440.4
16/08/1978,1443.3
17/08/1978,1441.7
18/08/1978,1440.3
21/08/1978,1464
22/08/1978,1464
23/08/1978,1452.6
24/08/1978,1457.4
25/08/1978,1458.3
28/08/1978,1442
29/08/1978,1460.9
30/08/1978,1458
31/08/1978,1461.2
01/09/1978,1467.8
04/09/1978,1471.3
05/09/1978,1470.5
06/09/1978,1471.4
07/09/1978,1479
08/09/1978,1482.2
11/09/1978,1489.1
12/09/1978,1484.7
13/09/1978,1483.5
14/09/1978,1485.6
15/09/1978,1482.9
18/09/1978,1484.2
19/09/1978,1476.4
20/09/1978,1475.9
21/09/1978,1478.1
22/09/1978,1476.9
25/09/1978,1480.5
26/09/1978,1487
27/09/1978,1487.5
28/09/1978,1494.8
29/09/1978,1495.8
02/10/1978,1500.9
03/10/1978,1509.9
04/10/1978,1507
05/10/1978,1508.2
06/10/1978,1511.3
09/10/1978,1512.6
10/10/1978,1517.1
11/10/1978,1513.5
12/10/1978,1517
13/10/1978,1515.1
16/10/1978,1516.5
17/10/1978,1514.3
18/10/1978,1518.2
19/10/1978,1515.7
20/10/1978,1516.6
23/10/1978,1518.5
24/10/1978,1520.7
25/10/1978,1529.6
26/10/1978,1531
27/10/1978,1528.5
30/10/1978,1531.1
31/10/1978,1529
01/11/1978,1528.6
02/11/1978,1526.9
03/11/1978,1531.6
06/11/1978,1536.1
07/11/1978,1531.3
08/11/1978,1533.2
09/11/1978,1521.11
10/11/1978,1518.7
13/11/1978,1518.1
14/11/1978,1509.5
15/11/1978,1506.8
16/11/1978,1503.2
17/11/1978,1508.9
20/11/1978,1509.5
21/11/1978,1510.5
22/11/1978,1515.7
23/11/1978,1514.5
24/11/1978,1519.8
27/11/1978,1524.7
28/11/1978,1519.3
29/11/1978,1516.3
30/11/1978,1516.3
01/12/1978,1522.2
04/12/1978,1519.8
05/12/1978,1515.5
06/12/1978,1512.7
07/12/1978,1515.1
08/12/1978,1516.6
11/12/1978,1513.7
12/12/1978,1510.7
13/12/1978,1509
14/12/1978,1506
15/12/1978,1506
18/12/1978,1502.5
19/12/1978,1500.5
20/12/1978,1503.5
21/12/1978,1500.7
22/12/1978,1501.6
25/12/1978,1501.6
26/12/1978,1501.6
27/12/1978,1498.8
28/12/1978,1495.3
29/12/1978,1496
01/01/1979,1496
02/01/1979,1494.5
03/01/1979,1492
04/01/1979,1492
05/01/1979,1495.8
08/01/1979,1491.8
09/01/1979,1491.4
10/01/1979,1495.7
11/01/1979,1497.2
12/01/1979,1501.6
15/01/1979,1500.5
16/01/1979,1499.9
17/01/1979,1497
18/01/1979,1496.7
19/01/1979,1499.6
22/01/1979,1499.6
23/01/1979,1499.6
24/01/1979,1499.6
25/01/1979,1499.6
26/01/1979,1499.6
29/01/1979,1499.6
30/01/1979,1499.6
31/01/1979,1510.8
01/02/1979,1515.8
02/02/1979,1515.6
05/02/1979,1530.7
06/02/1979,1525.1
07/02/1979,1529.3
08/02/1979,1531.5
09/02/1979,1531
12/02/1979,1530.2
13/02/1979,1528.8
14/02/1979,1519.5
15/02/1979,1528.3
16/02/1979,1534.4
19/02/1979,1547
20/02/1979,1546
21/02/1979,1550
22/02/1979,1554.2
23/02/1979,1558.8
26/02/1979,1562.2
27/02/1979,1550
28/02/1979,1551.3
01/03/1979,1554.5
02/03/1979,1556.2
05/03/1979,1544.8
06/03/1979,1546.9
07/03/1979,1555
08/03/1979,1547.4
09/03/1979,1548.8
12/03/1979,1542.1
13/03/1979,1539
14/03/1979,1541.3
15/03/1979,1540.5
16/03/1979,1554.2
19/03/1979,1556.5
20/03/1979,1559.2
21/03/1979,1564.2
22/03/1979,1570.6
23/03/1979,1573
26/03/1979,1574.1
27/03/1979,1571.9
28/03/1979,1574.9
29/03/1979,1572.1
30/03/1979,1569.6
02/04/1979,1556.3
03/04/1979,1554.3
04/04/1979,1551
05/04/1979,1556.3
06/04/1979,1554.7
09/04/1979,1554.2
10/04/1979,1549.6
11/04/1979,1544.3
12/04/1979,1546.3
13/04/1979,1546.3
16/04/1979,1546.3
17/04/1979,1540.2
18/04/1979,1542.5
19/04/1979,1545.3
20/04/1979,1548.1
23/04/1979,1549.5
24/04/1979,1546
25/04/1979,1550.9
26/04/1979,1555.4
27/04/1979,1560.9
30/04/1979,1559.5
01/05/1979,1565.5
02/05/1979,1561.7
03/05/1979,1567.7
04/05/1979,1565.8
07/05/1979,1565.8
08/05/1979,1556.4
09/05/1979,1558.3
10/05/1979,1567.9
11/05/1979,1562.7
14/05/1979,1563.6
15/05/1979,1565.1
16/05/1979,1566
17/05/1979,1567.9
18/05/1979,1567.9
21/05/1979,1579.8
22/05/1979,1581.6
23/05/1979,1582.8
24/05/1979,1583.8
25/05/1979,1583.3
28/05/1979,1583.3
29/05/1979,1583.3
30/05/1979,1567.4
31/05/1979,1569.6
01/06/1979,1568.4
04/06/1979,1574.9
05/06/1979,1583.7
06/06/1979,1583.3
07/06/1979,1611.4
08/06/1979,1616
11/06/1979,1630.4
12/06/1979,1629.5
13/06/1979,1622.8
14/06/1979,1633.5
15/06/1979,1645.1
18/06/1979,1637
19/06/1979,1631.7
20/06/1979,1629.6
21/06/1979,1632.7
22/06/1979,1640.9
25/06/1979,1637.6
26/06/1979,1637
27/06/1979,1637.3
28/06/1979,1628.2
29/06/1979,1617.7
02/07/1979,1602.2
03/07/1979,1601.1
04/07/1979,1595.4
05/07/1979,1595.8
06/07/1979,1600.1
09/07/1979,1600.7
10/07/1979,1598.2
11/07/1979,1586.1
12/07/1979,1582.5
13/07/1979,1572.3
16/07/1979,1561.2
17/07/1979,1561.3
18/07/1979,1561.4
19/07/1979,1554.7
20/07/1979,1562.7
23/07/1979,1566.3
24/07/1979,1548.7
25/07/1979,1543.1
26/07/1979,1538.4
27/07/1979,1537.7
30/07/1979,1529.9
31/07/1979,1523.1
01/08/1979,1533.3
02/08/1979,1537.7
03/08/1979,1541.9
06/08/1979,1543
07/08/1979,1548.9
08/08/1979,1560.7
09/08/1979,1560
10/08/1979,1557.7
13/08/1979,1550.4
14/08/1979,1555
15/08/1979,1562.8
16/08/1979,1565.3
17/08/1979,1569.8
20/08/1979,1572.4
21/08/1979,1567.3
22/08/1979,1577.1
23/08/1979,1571.2
24/08/1979,1579.6
27/08/1979,1579.6
28/08/1979,1581.7
29/08/1979,1580.3
30/08/1979,1583.3
31/08/1979,1590
03/09/1979,1594.9
04/09/1979,1599.2
05/09/1979,1586.5
06/09/1979,1580
07/09/1979,1577.3
10/09/1979,1585
11/09/1979,1598.25
12/09/1979,1604.2
13/09/1979,1607
14/09/1979,1611
17/09/1979,1620.7
18/09/1979,1621.5
19/09/1979,1615.3
20/09/1979,1620.2
21/09/1979,1622
24/09/1979,1624.3
25/09/1979,1636.1
26/09/1979,1638
27/09/1979,1638
28/09/1979,1638
01/10/1979,1649.9
02/10/1979,1675.2
03/10/1979,1656.3
04/10/1979,1653.1
05/10/1979,1657.5
08/10/1979,1669.4
09/10/1979,1669.8
10/10/1979,1658.7
11/10/1979,1648.3
12/10/1979,1647.8
15/10/1979,1666.5
16/10/1979,1658
17/10/1979,1647.4
18/10/1979,1653.2
19/10/1979,1650.8
22/10/1979,1655.3
23/10/1979,1654.5
24/10/1979,1654.5
25/10/1979,1651.7
26/10/1979,1657.7
29/10/1979,1659.9
30/10/1979,1668.3
31/10/1979,1676.3
01/11/1979,1680.1
02/11/1979,1687.1
05/11/1979,1688.8
06/11/1979,1686.9
07/11/1979,1685.1
08/11/1979,1685.2
09/11/1979,1690.1
12/11/1979,1700.3
13/11/1979,1712.2
14/11/1979,1710.5
15/11/1979,1706
16/11/1979,1694.7
19/11/1979,1693.5
20/11/1979,1690.3
21/11/1979,1693.6
22/11/1979,1693.6
23/11/1979,1693.5
26/11/1979,1696
27/11/1979,1696
28/11/1979,1689.5
29/11/1979,1690.3
30/11/1979,1691.2
03/12/1979,1699.8
04/12/1979,1705.7
05/12/1979,1703.1
06/12/1979,1706.2
07/12/1979,1702.3
10/12/1979,1701.9
11/12/1979,1700.7
12/12/1979,1698.5
13/12/1979,1692.3
14/12/1979,1691.5
17/12/1979,1700.5
18/12/1979,1706.2
19/12/1979,1706.2
20/12/1979,1707
21/12/1979,1704.2
24/12/1979,1704.2
25/12/1979,1704.2
26/12/1979,1704.2
27/12/1979,1709.5
28/12/1979,1709.5
31/12/1979,1701.2
01/01/1980,1701.2
02/01/1980,1710.6
03/01/1980,1718.3
04/01/1980,1702.7
07/01/1980,1702.7
08/01/1980,1693.8
09/01/1980,1691.7
10/01/1980,1681.4
11/01/1980,1683.4
14/01/1980,1701.6
15/01/1980,1757.3
16/01/1980,1757.3
17/01/1980,1716.7
18/01/1980,1739.9
21/01/1980,1764.8
22/01/1980,1764.8
23/01/1980,1769.8
24/01/1980,1769.8
25/01/1980,1769.8
28/01/1980,1789.1
29/01/1980,1794.5
30/01/1980,1808.2
31/01/1980,1809.5
01/02/1980,1822.1
04/02/1980,1816.8
05/02/1980,1831.5
06/02/1980,1832.6
07/02/1980,1828.6
08/02/1980,1829.2
11/02/1980,1829.2
12/02/1980,1840.6
13/02/1980,1852.3
14/02/1980,1839.4
15/02/1980,1823.1
18/02/1980,1821.2
19/02/1980,1799.6
20/02/1980,1760.4
21/02/1980,1773.4
22/02/1980,1770.6
25/02/1980,1753.6
26/02/1980,1772.6
27/02/1980,1783.3
28/02/1980,1785.4
29/02/1980,1785.7
03/03/1980,1800.3
04/03/1980,1797.1
05/03/1980,1794.5
06/03/1980,1797.8
07/03/1980,1775.8
10/03/1980,1765.6
11/03/1980,1738
12/03/1980,1756.8
13/03/1980,1735.8
14/03/1980,1719.7
17/03/1980,1731.5
18/03/1980,1720.5
19/03/1980,1740.2
20/03/1980,1748.4
21/03/1980,1744.2
24/03/1980,1754.8
25/03/1980,1743.8
26/03/1980,1736.2
27/03/1980,1730.2
28/03/1980,1708.3
31/03/1980,1706.7
01/04/1980,1708.3
02/04/1980,1679.8
03/04/1980,1679.8
04/04/1980,1705.6
07/04/1980,1705.6
08/04/1980,1724.9
09/04/1980,1724.4
10/04/1980,1722.2
11/04/1980,1726.3
14/04/1980,1733.6
15/04/1980,1717.7
16/04/1980,1724.8
17/04/1980,1718.2
18/04/1980,1714.7
21/04/1980,1700.7
22/04/1980,1686.9
23/04/1980,1685.4
24/04/1980,1686.9
25/04/1980,1711
28/04/1980,1678.2
29/04/1980,1678.2
30/04/1980,1682.1
01/05/1980,1680.8
02/05/1980,1686.3
05/05/1980,1686.3
06/05/1980,1702.9
07/05/1980,1692.1
08/05/1980,1710.6
09/05/1980,1709.1
12/05/1980,1721.1
13/05/1980,1721.1
14/05/1980,1723.7
15/05/1980,1722
