year,month,value
2016,1,55.6
2016,2,49.6
2016,3,53.6
2016,4,50.4
2016,5,50.3
2016,6,55.2
2016,7,54.4
2016,8,51.5
2016,9,54.2
2016,10,50.6
2016,11,57.6
2016,12,53.9
2017,1,50.3
2017,2,57.4
2017,3,57.7
2017,4,58.3
2017,5,59.4
2017,6,65.7
2017,7,58.9
2017,8,58.9
2017,9,65.2
2017,10,66.2
2017,11,63.9
2017,12,67.8
2018,1,65.7
2018,2,61.9
2018,3,57.4
2018,4,57.6
2018,5,62.7
2018,6,64.1
2018,7,65.5
2018,8,63.6
2018,9,60.4
2018,10,58.4
2018,11,66.4
2018,12,63.8
2019,1,56.7
2019,2,64.7
2019,3,58.7
2019,4,52.6
2019,5,54.2
2019,6,49.7
2019,7,44.4
2019,8,50.4
2019,9,47.1
2019,10,43.2
2019,11,46.3
2019,12,48.9
2020,1,42.9
2020,2,49.0
2020,3,47.8
2020,4,35.4
2020,5,32.3
2020,6,36.6
2020,7,51.9
2020,8,51.2
2020,9,62.4
2020,10,61.1
2020,11,58.2
2020,12,58.7
2021,1,63.8
2021,2,59.5
2021,3,66.4
2021,4,72.1
2021,5,75.2
2021,6,66.1
2021,7,73.4
2021,8,66.8
2021,9,64.7
2021,10,68.4
2021,11,61.8
2021,12,64.3
2022,1,65.2
2022,2,56.3
2022,3,62.9
2022,4,56.4
2022,5,60.3
2022,6,56.0
2022,7,52.1
2022,8,52.2
2022,9,45.7
2022,10,45.2
2022,11,37.2
2022,12,44.9
2023,1,44.3
2023,2,43.6
2023,3,43.8
2023,4,48.6
2023,5,40.4
2023,6,42.8
2023,7,42.8
2023,8,48.7
2023,9,44.1
2023,10,45.0
2023,11,55.6
2023,12,47.2
2024,1,46.0
2024,2,44.0
2024,3,41.4
2024,4,37.9
2024,5,35.4
2024,6,47.4
2024,7,45.3
2024,8,46.1
2024,9,46.6
2024,10,41.6
2024,11,40.2
2024,12,36.9
2025,1,39.5
2025,2,45.5
2025,3,47.6
2025,4,44.6
2025,5,40.5
2025,6,40.4
2025,7,47.1
2025,8,41.5
2025,9,40.6
2025,10,43.8
2025,11,36.3
2025,12,43.5
2026,1,54.0
2026,2,57.7
2026,3,52.8
