year,month,value
2016,1,47.5
2016,2,49.2
2016,3,51.4
2016,4,51.0
2016,5,51.3
2016,6,52.4
2016,7,52.4
2016,8,49.7
2016,9,51.0
2016,10,51.8
2016,11,53.3
2016,12,54.2
2017,1,55.7
2017,2,57.7
2017,3,56.8
2017,4,55.7
2017,5,56.4
2017,6,56.1
2017,7,56.5
2017,8,58.5
2017,9,59.9
2017,10,58.6
2017,11,57.9
2017,12,59.2
2018,1,59.4
2018,2,60.8
2018,3,59.2
2018,4,58.6
2018,5,58.9
2018,6,59.7
2018,7,58.0
2018,8,60.4
2018,9,59.5
2018,10,58.3
2018,11,58.7
2018,12,54.8
2019,1,55.7
2019,2,54.2
2019,3,55.3
2019,4,53.6
2019,5,52.2
2019,6,51.3
2019,7,51.0
2019,8,48.4
2019,9,48.3
2019,10,48.3
2019,11,48.2
2019,12,47.7
2020,1,51.1
2020,2,50.3
2020,3,49.7
2020,4,41.7
2020,5,43.1
2020,6,52.2
2020,7,53.7
2020,8,55.6
2020,9,55.7
2020,10,58.8
2020,11,57.7
2020,12,60.5
2021,1,58.7
2021,2,60.8
2021,3,64.7
2021,4,60.7
2021,5,61.2
2021,6,60.6
2021,7,59.5
2021,8,59.9
2021,9,61.1
2021,10,60.8
2021,11,60.8
2021,12,58.6
2022,1,57.6
2022,2,58.4
2022,3,57.0
2022,4,55.9
2022,5,56.1
2022,6,53.1
2022,7,52.7
2022,8,52.9
2022,9,51.0
2022,10,50.0
2022,11,49.0
2022,12,48.4
2023,1,47.4
2023,2,47.7
2023,3,46.3
2023,4,47.1
2023,5,46.9
2023,6,46.0
2023,7,46.4
2023,8,47.6
2023,9,49.0
2023,10,46.7
2023,11,46.6
2023,12,47.1
2024,1,49.1
2024,2,47.6
2024,3,49.8
2024,4,48.8
2024,5,48.5
2024,6,48.3
2024,7,47.0
2024,8,47.5
2024,9,47.5
2024,10,46.9
2024,11,48.4
2024,12,49.2
2025,1,50.9
2025,2,50.3
2025,3,48.9
2025,4,48.8
2025,5,48.6
2025,6,49.0
2025,7,48.4
2025,8,48.9
2025,9,48.9
2025,10,48.8
2025,11,48.0
2025,12,47.9
2026,1,52.6
2026,2,52.4
2026,3,52.7
