year,month,value
2016,1,53.8
2016,2,52.8
2016,3,55.4
2016,4,55.2
2016,5,54.1
2016,6,55.8
2016,7,56.2
2016,8,52.6
2016,9,55.4
2016,10,54.3
2016,11,56.4
2016,12,55.8
2017,1,57.0
2017,2,56.6
2017,3,56.2
2017,4,57.2
2017,5,57.4
2017,6,56.8
2017,7,55.4
2017,8,55.8
2017,9,58.1
2017,10,60.4
2017,11,57.1
2017,12,56.3
2018,1,60.0
2018,2,58.5
2018,3,58.2
2018,4,57.6
2018,5,58.0
2018,6,58.5
2018,7,57.5
2018,8,59.5
2018,9,60.4
2018,10,60.8
2018,11,60.1
2018,12,58.1
2019,1,56.5
2019,2,59.1
2019,3,56.5
2019,4,55.3
2019,5,56.1
2019,6,55.2
2019,7,54.4
2019,8,56.0
2019,9,53.2
2019,10,54.8
2019,11,53.6
2019,12,55.7
2020,1,56.0
2020,2,57.5
2020,3,52.9
2020,4,41.7
2020,5,45.4
2020,6,57.3
2020,7,56.7
2020,8,57.1
2020,9,57.1
2020,10,56.1
2020,11,56.1
2020,12,57.5
2021,1,58.7
2021,2,56.4
2021,3,62.3
2021,4,63.0
2021,5,63.9
2021,6,61.2
2021,7,64.0
2021,8,61.7
2021,9,62.1
2021,10,66.6
2021,11,67.6
2021,12,61.7
2022,1,60.4
2022,2,57.2
2022,3,58.4
2022,4,57.5
2022,5,56.4
2022,6,56.0
2022,7,56.4
2022,8,56.1
2022,9,55.9
2022,10,54.5
2022,11,55.5
2022,12,49.2
2023,1,55.2
2023,2,55.1
2023,3,51.2
2023,4,51.9
2023,5,50.3
2023,6,53.9
2023,7,52.7
2023,8,54.5
2023,9,53.6
2023,10,51.8
2023,11,52.5
2023,12,50.5
2024,1,53.4
2024,2,52.2
2024,3,51.3
2024,4,49.6
2024,5,53.5
2024,6,49.2
2024,7,51.4
2024,8,51.6
2024,9,54.5
2024,10,55.8
2024,11,52.5
2024,12,54.0
2025,1,52.8
2025,2,53.2
2025,3,50.8
2025,4,51.6
2025,5,50.2
2025,6,50.8
2025,7,50.5
2025,8,51.9
2025,9,50.3
2025,10,52.0
2025,11,52.4
2025,12,53.8
2026,1,53.8
2026,2,56.1
2026,3,54.0
